categoria,precio_promedio,fecha
Almacén > Aceites Y Condimentos > Aceites > Aceite Aerosol,4633.8,20260219
Almacén > Aceites Y Condimentos > Aceites > Aceite Canola,8250.0,20260219
Almacén > Aceites Y Condimentos > Aceites > Aceite De Coco,11574.99,20260219
Almacén > Aceites Y Condimentos > Aceites > Aceite Girasol,5036.91,20260219
Almacén > Aceites Y Condimentos > Aceites > Aceite Maiz,6222.5,20260219
Almacén > Aceites Y Condimentos > Aceites > Aceite Mezcla,7177.57,20260219
Almacén > Aceites Y Condimentos > Aceites > Aceite Oliva,19677.48,20260219
Almacén > Aderezos Y Salsas,7725.87,20260219
Almacén > Aderezos Y Salsas > Aderezo Caesar,6248.8,20260219
Almacén > Aderezos Y Salsas > Aderezo De Soja,5420.93,20260219
Almacén > Aderezos Y Salsas > Aderezo Dkt,6038.83,20260219
Arroz Y Legumbres > Arroz > Almacén,3772.84,20260219
Arroz Y Legumbres > Arroz Preparado > Arroz > Almacén,3824.44,20260219
Babaganush > Almacén > Aderezos Y Salsas,5299.0,20260219
Barbacoa > Almacén > Aderezos Y Salsas,4883.25,20260219
Bebidas Con Alcohol > Bebidas > Aperitivos,16147.0,20260219
Bebidas Con Alcohol > Bebidas > Aperitivos > Americano,7938.36,20260219
Bebidas Con Alcohol > Bebidas > Aperitivos > Americano Combinado,6092.21,20260219
Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Bitter,9519.43,20260219
Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Coctel,3500.0,20260219
Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Hierbas,18824.0,20260219
Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > Americano Combinado > APERITIVOS,2161.0,20260219
Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > Aperitivo Bitter > APERITIVOS,2039.0,20260219
Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > Aperitivo Hierbas > APERITIVOS,5300.0,20260219
Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas > Anis,7628.0,20260219
Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas > BEBIDAS CON ALCOHOL > BEBIDAS BLANCAS Y DESTILADAS,8925.0,20260219
Bebidas Sin Alcohol > Bebidas > Aguas Saborizadas > Aguas,2140.71,20260219
Bebidas Sin Alcohol > Bebidas > Aguas Y Sodas > Aguas Con Gas > Aguas,2580.07,20260219
Bebidas Sin Alcohol > Bebidas > Aguas Y Sodas > Aguas Sin Gas > Aguas,2579.24,20260219
Bebidas Sin Alcohol > Bebidas > Amargos,2381.12,20260219
Bebidas Sin Alcohol > Bebidas > BEBIDAS SIN ALCOHOL > Aguas Saborizadas > Aguas > AGUAS SABORIZADAS,1800.0,20260219
Bebidas Sin Alcohol > Bebidas > BEBIDAS SIN ALCOHOL > Amargos > AMARGOS,1940.33,20260219
Bebidas Sin Alcohol > Bebidas Isotónicas > Bebidas,2464.6,20260219
Brandy > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,26145.0,20260219
Cachaza > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas > BEBIDAS CON ALCOHOL > BEBIDAS BLANCAS Y DESTILADAS,11760.0,20260219
Cereales > Almacén,1667.0,20260219
Cereales > Avena > Almacén,2947.03,20260219
Cereales > Barras > Almacén,2810.39,20260219
Cereales > Barras De Arroz > Almacén,540.0,20260219
Cereales > Break Saludables > Almacén,4652.06,20260219
Cereales Con Azúcar > Cereales > Almacén,2857.22,20260219
Cereales De Avena > Cereales > Almacén,2971.6,20260219
Cereales Infantiles > Almacén > Alimentos Para Bebé > Alimento De Bebés Y Niños,3787.75,20260219
Cereales Infantiles > Cereales > Almacén,4926.57,20260219
Cereales Sin Azúcar > Cereales Con Azúcar > Cereales > Almacén,3145.0,20260219
Cervezas Con Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,5795.73,20260219
Cervezas Con Alcohol > Cervezas > Cerveza > CERVEZA > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL,3498.83,20260219
Cervezas Sin Alcohol > Cervezas > Cerveza > Bebidas Con Alcohol > Bebidas,6709.3,20260219
Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,40007.32,20260219
Chimichurri > Almacén > Aderezos Y Salsas,3505.67,20260219
Cognac > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,8699.0,20260219
Cognac > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas > BEBIDAS CON ALCOHOL > BEBIDAS BLANCAS Y DESTILADAS,66500.0,20260219
Condimentos > Almacén > Aceites Y Condimentos > Aceites > Aceite Dende,17740.0,20260219
Condimentos > Almacén > Aceto Balsámico > Aceites Y Condimentos,5718.84,20260219
Condimentos Saborizantes > Almacén > Aderezos Y Salsas,4273.94,20260219
Congelados > Comidas Congeladas,8899.0,20260219
Congelados > Comidas Congeladas > Arrollados,4999.0,20260219
Congelados > Comidas Congeladas > Burritos,7999.0,20260219
Conservas De Frutas > Conservas > Anana > Almacén,7170.0,20260219
Conservas De Pescado > Conservas > Almejas > Almacén,11452.0,20260219
Conservas De Pescado > Conservas > Atún > Almacén,4503.73,20260219
Conservas De Pescado > Conservas > Caballa > Almacén,4019.0,20260219
Conservas De Pescado > Conservas > Calamar > Almacén,7491.0,20260219
Conservas De Pescado > Conservas > Cholgas > Almacén,7617.0,20260219
Conservas De Pescado > Conservas > Choritos > Almacén,6183.5,20260219
Conservas Vegetal > Conservas > Arvejas > Almacén,1318.56,20260219
Conservas Vegetal > Conservas > Champignon > Almacén,2436.8,20260219
Conservas Vegetal > Conservas > Choclo > Almacén,2100.27,20260219
Croquetas > Congelados > Comidas Congeladas,5209.0,20260219
Cóctel De Frutas > Conservas De Frutas > Conservas > Almacén,4309.06,20260219
Dkt > Condimentos > Almacén > Aceites Y Condimentos,7739.0,20260219
Durazno > Conservas De Frutas > Conservas > Almacén,3243.29,20260219
Empanadas Y Tartas > Empanadas > Congelados > Comidas Congeladas,11854.72,20260219
Encurtidos > Almacén > Aceitunas,4914.96,20260219
Encurtidos > Almacén > Ají,8568.67,20260219
Encurtidos > Almacén > Alcaparras,7249.0,20260219
Encurtidos > Cebollitas > Almacén,4871.0,20260219
Encurtidos > Chiles > Almacén,7832.5,20260219
Encurtidos > ENCURTIDOS > Almacén > Aceitunas > ALIMENTOS SECOS,4519.5,20260219
Endulzantes > Almacén,7825.33,20260219
Endulzantes > Azúcar > Almacén,8567.06,20260219
Endulzantes > Edulcorante > Almacén,5822.43,20260219
Energizantes > Bebidas Sin Alcohol > Bebidas,4985.37,20260219
Esparrago > Conservas Vegetal > Conservas > Almacén,15561.0,20260219
Especias > Almacén,3940.0,20260219
Especias > Condimento En Grano > Almacén,5921.33,20260219
Especias > Condimento En Hojas > Almacén,1277.37,20260219
Especias > Condimento En Polvo > Almacén,4862.97,20260219
Especieros > Especias > Almacén,7266.55,20260219
Espinaca > Conservas Vegetal > Conservas > Almacén,5400.5,20260219
Espumantes > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,13722.4,20260219
Espárragos > Encurtidos > Almacén,14272.0,20260219
Estuches / Bolsas > Cereales Con Azúcar > Cereales > Almacén,2698.33,20260219
Estuches / Bolsas > Cereales De Avena > Cereales > Almacén,2561.0,20260219
Estuches / Bolsas > Cereales Infantiles > Cereales > Almacén,1708.33,20260219
FRUTAS > Durazno > Conservas De Frutas > Conservas > CONSERVAS > Almacén > ALIMENTOS SECOS,3029.0,20260219
Fernet > Bebidas Con Alcohol > Bebidas > Aperitivos,11544.4,20260219
Fernet > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > APERITIVOS,11952.8,20260219
Frescos > Aves,11499.0,20260219
Frescos > Carniceria > Carnes,57499.0,20260219
Frescos > Carniceria > Carnes > Bovinos,15947.48,20260219
Frescos > Carniceria > Carnes > CARNICERIA > CARNES > Bovinos > ALIMENTOS FRESCOS,13099.0,20260219
Frescos > Carniceria > Carnes > CARNICERIA > CARNES > Bovinos envasados al vacío > Bovinos Envasados Al Vacío > ALIMENTOS FRESCOS,25549.0,20260219
Frescos > Carniceria > Carnes Elaboradas,10899.0,20260219
Frescos > Carniceria > Carnes Elaboradas > CARNICERIA > CARNES ELABORADAS > ALIMENTOS FRESCOS,13219.0,20260219
Frescos > Comidas Elaboradas,6939.0,20260219
Frescos > Embutidos > Carniceria,8279.0,20260219
Frescos > Embutidos > EMBUTIDOS > Carniceria > CARNICERIA > ALIMENTOS FRESCOS,9946.47,20260219
Frescos > Fiambres,8499.0,20260219
Frescos > Fiambres > Arrollado De Pollo,23649.0,20260219
Frescos > Fiambres > Bondiola,27762.33,20260219
Frescos > Fiambres > Cantimpalo,19949.0,20260219
Frescos > Fiambres > Chorizo,30500.67,20260219
Frescos > Fiambres > Especialidades,49999.0,20260219
Frescos > Fiambres > Fiambre De Cerdo,9263.0,20260219
Frutas Congeladas > Congelados > Arándanos,7950.6,20260219
Frutas Congeladas > Congelados > Banana,6999.0,20260219
Frutas Congeladas > Frambuesas > Congelados,9999.0,20260219
Frutas Y Verduras > Frescos > Cereales Y Harinas,5724.0,20260219
Frutas Y Verduras > Frescos > Champignones,11715.67,20260219
Frutas Y Verduras > Frutas > Frescos > Ananás,3499.0,20260219
Frutas Y Verduras > Frutas > Frescos > Arándanos,1999.0,20260219
Frutas Y Verduras > Frutas > Frescos > Bananas,3494.0,20260219
Frutas Y Verduras > Frutas > Frescos > Cerezas,8499.0,20260219
Frutas Y Verduras > Frutas > Frescos > Ciruelas,6065.67,20260219
Frutas Y Verduras > Frutas > Frescos > Duraznos,4165.67,20260219
Frutas Y Verduras > Frutas > Frescos > Dátiles,28899.0,20260219
Frutas Y Verduras > Frutas > Frescos > FRUTAS Y VERDURAS > FRUTAS > Coco > ALIMENTOS FRESCOS,4999.0,20260219
Frutas Y Verduras > Frutas Desecadas > Frutas > Frescos > Dátiles,18999.0,20260219
Frutas Y Verduras > Frutas Secas Y Desecadas > Frescos,5649.0,20260219
Frutas Y Verduras > Frutas Secas Y Desecadas > Frutas Desecadas > Frescos,10434.0,20260219
Frutas Y Verduras > Frutas Secas Y Desecadas > Frutas Desecadas > Frescos > FRUTAS Y VERDURAS > FRUTAS DESECADAS > ALIMENTOS FRESCOS,13999.0,20260219
Frutas Y Verduras > Frutas Secas Y Desecadas > Frutas Secas > Frescos,9850.3,20260219
Frutas Y Verduras > Frutas Secas Y Desecadas > Frutas Secas > Frutas > Frescos,6999.0,20260219
Frutas Y Verduras > Frutas Secas Y Desecadas > Frutas Secas A Granel > Frutas Secas > Frescos > FRUTAS Y VERDURAS > FRUTAS SECAS A GRANEL > ALIMENTOS FRESCOS,31999.0,20260219
Frutillas > Frutas Congeladas > Congelados,6467.0,20260219
Frutillas > Frutas Y Verduras > Frutas > Frescos,9999.0,20260219
Fuet > Frescos > Fiambres,7334.71,20260219
Garbanzos > Conservas Vegetal > Conservas > Almacén,1548.94,20260219
Gaseosas > Bebidas Sin Alcohol > Bebidas,2817.29,20260219
Gaseosas > GASEOSAS > Bebidas Sin Alcohol > Bebidas > BEBIDAS SIN ALCOHOL,2902.19,20260219
Gin > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,25793.34,20260219
Golosinas > Almacén,2003.4,20260219
Golosinas > Almacén > Alfajores,3669.32,20260219
Golosinas > Almacén > Alfajores De Arroz > Alfajores,3232.66,20260219
Golosinas > Bombones Y Bocaditos > Almacén,11109.0,20260219
Golosinas > Bombones Y Bocaditos > Bocaditos > Almacén,10029.5,20260219
Golosinas > Bombones Y Bocaditos > Bombones > Almacén,9766.46,20260219
Golosinas > Caramelos Y Chupetines > Caramelos > Almacén,3082.48,20260219
Golosinas > Chicles Y Pastillas > Chicles > Almacén,1932.16,20260219
Golosinas > Chocolates > Almacén,5762.01,20260219
Golosinas > Chocolates > Barras De Chocolate > Almacén,6581.72,20260219
Golosinas > Chocolates Y Bombones > Chocolates > Barras De Chocolate > Almacén,3333.32,20260219
Golosinas > Chupetines > Caramelos Y Chupetines > Almacén,4982.39,20260219
Golosinas > Confituras > Almendras > Almacén,15000.0,20260219
Golosinas > Confituras > Cereales > Almacén,1796.99,20260219
Golosinas > Confituras > Confites > Almacén,5943.92,20260219
Golosinas > Cubanitos > Bombones Y Bocaditos > Almacén,1199.99,20260219
"Golosinas > Donas, Rolls Y Bizcochuelos > Bizcochuelo Snack > Almacén",1513.99,20260219
Golosinas > Frutas Y Verduras > Frutas Secas > Bombones Y Bocaditos > Bombones > Almacén,4999.0,20260219
Golosinas > GOLOSINAS > Almacén > Alfajores > ALIMENTOS SECOS > ALFAJORES,7081.0,20260219
Golosinas > GOLOSINAS > Caramelos Y Chupetines > Caramelos > CARAMELOS > Almacén > ALIMENTOS SECOS,2499.99,20260219
Gomitas Y Gelatinas > Golosinas > Gelatinas > Almacén,1279.72,20260219
Gomitas Y Gelatinas > Gomitas > Golosinas > Almacén,3890.73,20260219
Granadinas > Bebidas Sin Alcohol > Bebidas,5490.0,20260219
Granadinas > GRANADINAS > Bebidas Sin Alcohol > Bebidas > BEBIDAS SIN ALCOHOL,4640.0,20260219
Granja > Frescos > Carniceria,17549.0,20260219
Granja > GRANJA > Frescos > Carniceria > CARNICERIA > ALIMENTOS FRESCOS,14799.0,20260219
Granola > Cereales > Almacén,5099.04,20260219
Granola > Estuches / Bolsas > Cereales > Almacén,4312.0,20260219
Grappa > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,40500.0,20260219
Grappa > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas > BEBIDAS CON ALCOHOL > BEBIDAS BLANCAS Y DESTILADAS,28120.0,20260219
Harinas > Almacén,2382.06,20260219
Harinas > Cous Cous > Almacén,12585.0,20260219
Harinas > Garbanzo > Almacén,2594.0,20260219
Harinas > Harina De Almendras > Almacén,11199.99,20260219
Harinas > Harina De Arroz > Almacén,2454.5,20260219
Harinas > Harina De Legumbres > Almacén,2622.0,20260219
Harinas > Harina De Maní > Almacén,2456.0,20260219
Harinas > Harina De Maíz > Almacén,1651.27,20260219
Harinas > Harina De Trigo > Almacén,1640.92,20260219
Harinas > Harina Integral > Almacén,1897.6,20260219
Harinas > Harina Leudante > Almacén,1736.15,20260219
Harinas > Harina Orgánica > Almacén,4075.67,20260219
Harinas > Harina Sin Gluten > Almacén,7401.0,20260219
Helados Y Postres > Helados En Palito > Congelados,11512.41,20260219
Helados Y Postres > Helados En Palito > Helados > Congelados,16329.0,20260219
Helados Y Postres > Helados En Pote > Congelados,11881.4,20260219
Helados Y Postres > Helados En Pote > Helados > Congelados,13373.6,20260219
Hierbas Aromáticas > Frutas Y Verduras > Frescos,3999.0,20260219
Higos > Frutas Y Verduras > Frutas Desecadas > Frutas > Frescos,34999.0,20260219
Huevos Blanco > Huevos > Frescos,3334.17,20260219
Huevos Blanco > Huevos > HUEVOS > Frescos > CARNICERIA > ALIMENTOS FRESCOS,7205.0,20260219
Huevos Color > Huevos > Frescos,3888.0,20260219
Huevos Color > Huevos > HUEVOS > Frescos > CARNICERIA > ALIMENTOS FRESCOS,5818.75,20260219
Humo > Condimentos > Almacén > Aceites Y Condimentos,4377.67,20260219
Infusiones > Cacao En Polvo > Almacén,8384.17,20260219
Infusiones > Café > Almacén,5400.0,20260219
Infusiones > Cebada > Almacén,3958.2,20260219
Infusiones > Complementos Para Infusiones > Almacén,9804.67,20260219
Infusiones > Cápsulas > Café > Almacén,12488.26,20260219
Infusiones > En Grano > Café > Almacén,28427.43,20260219
Infusiones > Especialidades > Café > Almacén,4516.5,20260219
Infusiones > Filtros De Papel > Café > Almacén,4331.0,20260219
Instantáneo > Infusiones > Café > Almacén,9208.34,20260219
JAMON CRUDO / BONDIOLA > Frescos > Fiambres > FIAMBRES > FIAMBRERIA > Bondiola > ALIMENTOS FRESCOS,34999.0,20260219
JUGOS > Bebidas Sin Alcohol > Bebidas Isotónicas > Bebidas > BEBIDAS SIN ALCOHOL,2200.0,20260219
Jalapeños > Conservas Vegetal > Conservas > Almacén,7267.0,20260219
Jamón > Frescos > Fiambres,5779.0,20260219
Jamón Cocido > Jamón > Frescos > Fiambres,16576.81,20260219
Jamón Cocido > Jamón > JAMON Y PALETA COCIDA > Frescos > Fiambres > FIAMBRES > FIAMBRERIA > ALIMENTOS FRESCOS,6319.0,20260219
Jamón Crudo > Jamón > Frescos > Fiambres,50732.0,20260219
Jardinera > Conservas Vegetal > Conservas > Almacén,1199.2,20260219
Jugo De Limón > Condimentos > Almacén > Aceites Y Condimentos,2491.89,20260219
Jugos Concentrados > Jugos > Bebidas Sin Alcohol > Bebidas,1950.0,20260219
Jugos En Polvo > Jugos > Bebidas Sin Alcohol > Bebidas,413.78,20260219
Jugos Frescos > Jugos > Bebidas Sin Alcohol > Bebidas,3971.29,20260219
Jugos Frescos > Jugos > JUGOS > Bebidas Sin Alcohol > Bebidas > BEBIDAS SIN ALCOHOL,2125.0,20260219
Jugos Listos > Jugos > Bebidas Sin Alcohol > Bebidas,2649.59,20260219
Jugos Listos > Jugos > JUGOS > Bebidas Sin Alcohol > Bebidas > BEBIDAS SIN ALCOHOL,1506.67,20260219
Jugos Naturales > Jugos > Bebidas Sin Alcohol > Bebidas,3291.78,20260219
Jugos Refrigerados > Jugos Frescos > Jugos > Bebidas Sin Alcohol > Bebidas,4049.5,20260219
Ketchup > Almacén > Aderezos Y Salsas,3128.5,20260219
Kiwis > Frutas Y Verduras > Frutas > Frescos,9499.0,20260219
LECHES EN POLVO > Infusiones > Especialidades > Café > Almacén > ALIMENTOS SECOS,4965.0,20260219
Leberwurst > Frescos > Fiambres,6940.5,20260219
Leche En Polvo > Almacén,15415.7,20260219
Leche En Polvo > LECHES EN POLVO > Almacén > ALIMENTOS SECOS,50901.0,20260219
Leches En Polvo > Infusiones Infantiles > Almacén > Alimento De Bebés Y Niños,28839.09,20260219
Legumbres > Arroz Y Legumbres > Almacén,4571.75,20260219
Legumbres > Arvejas > Arroz Y Legumbres > Almacén,1600.5,20260219
Legumbres > Frutas Y Verduras > Frescos,2446.86,20260219
Legumbres > Garbanzos > Arroz Y Legumbres > Almacén,1830.5,20260219
Legumbres > LEGUMBRES > Arvejas > Arroz Y Legumbres > Almacén > ALIMENTOS SECOS,1683.0,20260219
Legumbres > LEGUMBRES > Garbanzos > Arroz Y Legumbres > Almacén > ALIMENTOS SECOS,1784.0,20260219
Lentejas > Conservas Vegetal > Conservas > Almacén,1275.2,20260219
Lentejas > Legumbres > Arroz Y Legumbres > Almacén,3252.6,20260219
Lentejas > Legumbres > LEGUMBRES > Arroz Y Legumbres > Almacén > ALIMENTOS SECOS,2635.33,20260219
Licores > Bebidas Con Alcohol > Bebidas,26145.69,20260219
Licores > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > BEBIDAS BLANCAS Y DESTILADAS,32700.0,20260219
